,Unnamed: 0,model,displ,cyl,trans,drive,fuel,veh_class,air_pollution_score,city_mpg,hwy_mpg,cmb_mpg,greenhouse_gas_score,smartway
610,1618,MERCEDES-BENZ S65 AMG,6.0,12,Auto-S5,2WD,Gasoline,large car,6,11,17,13,1,no
611,1620,MERCEDES-BENZ SL55 AMG,5.4,8,Auto-S5,2WD,Gasoline,small car,6,12,17,14,2,no
612,1621,MERCEDES-BENZ SL550,5.5,8,Auto-L7,2WD,Gasoline,small car,7,14,21,16,4,no
613,1624,MERCEDES-BENZ SL600,5.5,12,Auto-L5,2WD,Gasoline,small car,6,11,18,14,2,no
614,1626,MERCEDES-BENZ SL65 AMG,6.0,12,Auto-S5,2WD,Gasoline,small car,6,11,18,14,2,no
615,1632,MERCEDES-BENZ SLK55 AMG,5.4,8,Auto-S7,2WD,Gasoline,small car,6,14,20,16,4,no
616,1634,MERCEDES-BENZ SLR,5.4,8,Auto-S5,2WD,Gasoline,small car,6,12,16,13,1,no
617,1638,MERCURY Mariner,2.3,4,Auto-L4,2WD,Gasoline,SUV,6,20,26,22,6,no
618,1639,MERCURY Mariner,2.3,4,Auto-L4,4WD,Gasoline,SUV,6,19,24,21,6,no
619,1642,MERCURY Mariner,3.0,6,Auto-L4,2WD,Gasoline,SUV,6,18,24,20,6,no
620,1643,MERCURY Mariner,3.0,6,Auto-L4,4WD,Gasoline,SUV,6,17,22,19,5,no
621,1644,MERCURY Mariner Hybrid,2.3,4,Auto-AV,2WD,Gasoline,SUV,9.5,34,30,32,9,yes
622,1645,MERCURY Mariner Hybrid,2.3,4,Auto-AV,4WD,Gasoline,SUV,9.5,29,27,28,8,yes
623,1648,MERCURY Milan,2.3,4,Auto-L5,2WD,Gasoline,midsize car,9.5,20,28,23,7,yes
624,1649,MERCURY Milan,3.0,6,Auto-L6,4WD,Gasoline,midsize car,7,17,25,20,6,yes
625,1650,MERCURY Milan,3.0,6,Auto-L6,2WD,Gasoline,midsize car,7,18,26,21,6,yes
626,1657,MERCURY Mountaineer,4.0,6,Auto-L5,2WD,Gasoline,SUV,7,14,20,16,4,no
627,1658,MERCURY Mountaineer,4.0,6,Auto-L5,4WD,Gasoline,SUV,7,13,19,15,3,no
